"","iteration","num.plants","plant.size","plant.size.var","aim.sum","aim.count","aim.multiples","haf.sum","haf.count","haf.duplicates","plot.average","plot.max"
"1",1,50,25,12.5,22.9519967349747,16,4,23.8046946400884,6,4,22.4334105933172,23.8419939594799
"2",2,50,25,12.5,23.2303584892278,8,1,23.755279888667,2,0,22.2633163699849,23.7211403990059
"3",3,50,25,12.5,22.1314805756356,16,2,23.2978899657086,4,2,22.0637028631892,23.4289112418653
"4",4,50,25,12.5,22.2430507252088,11,0,23.4463179946195,4,2,22.2567985585673,23.6941307460111
"5",5,50,25,12.5,22.7105580760983,8,0,23.1528436795319,3,2,22.1926149318002,23.6736782217226
"6",6,50,25,12.5,22.3389773561517,7,0,22.9789250506764,3,1,22.2687039965223,23.633301655408
"7",7,50,25,12.5,22.3603735960015,9,0,23.3376563160559,2,2,22.306421028198,23.7337843117069
"8",8,50,25,12.5,22.9777904394902,5,0,23.8446619749143,2,0,22.0874607399651,23.4968029064949
"9",9,50,25,12.5,23.614997488179,3,0,24.073894905404,1,1,22.2144192105633,23.6261212677505
"10",10,50,25,12.5,22.3893796556701,17,1,22.9346617247091,7,3,21.9449284099783,23.3258383557579
"11",11,50,25,12.5,22.6108674101914,7,0,23.5725999931646,3,1,22.3830677943006,23.7840268299236
"12",12,50,25,12.5,22.4090388923413,11,0,23.7631637874794,4,3,22.266497353665,23.7164506845406
"13",13,50,25,12.5,22.6907316371975,8,0,23.4976544396896,4,2,22.1387460194942,23.6165233846938
"14",14,50,25,12.5,23.4022536023404,7,0,24.7248140137945,2,2,22.3392824931007,23.7035157851231
"15",15,50,25,12.5,22.8306685994928,13,3,23.7839018803238,4,3,22.3329350939514,23.6997385967352
"16",16,50,25,12.5,22.5791171167103,13,1,23.8205863603453,4,2,22.2994709368081,23.7140635144124
"17",17,50,25,12.5,23.0007051776359,16,4,23.6677269944212,6,3,22.3365061826267,23.7152665024628
"18",18,50,25,12.5,22.0363605494364,15,1,23.255356020252,4,4,22.1352235038549,23.5493454744257
"19",19,50,25,12.5,22.7803726252973,8,0,23.2768909623499,3,1,22.1884473146068,23.5527647123155
"20",20,50,25,12.5,22.4050980893624,19,3,23.6686125730749,6,5,22.102648170752,23.537343372831
"21",21,50,25,12.5,23.8192511515355,4,0,24.5320457368424,2,0,22.4178936720264,23.8740079049512
"22",22,50,25,12.5,22.9398313238227,6,3,23.7580587179364,2,1,22.2528749201831,23.7560691470998
"23",23,50,25,12.5,23.016016740582,9,5,23.2300707242553,3,2,21.9721767134703,23.4130521591299
"24",24,50,25,12.5,21.9522958670941,11,0,23.4469381259987,4,2,21.9904399158435,23.34188415913
"25",25,50,25,12.5,23.2785036925683,8,0,24.328535413463,3,0,22.3825043706221,23.7010253279391
"26",26,50,25,12.5,22.2300529237455,2,0,0,0,0,22.2388571905078,23.6664209626175
"27",27,50,25,12.5,21.7851744658226,8,1,22.4238257363042,3,0,22.0096397301375,23.4972088658165
"28",28,50,25,12.5,23.7114331702526,8,4,24.9360118707377,4,3,21.8727197430297,23.3386646137985
"29",29,50,25,12.5,22.6668628092709,10,0,23.3801106139021,4,1,22.0559806459631,23.4318809701671
"30",30,50,25,12.5,23.1394619288445,7,0,23.7011576993813,3,2,22.1085573906827,23.594382942937
"31",31,50,25,12.5,22.1713445531603,10,1,23.6501238568852,4,3,22.0852227071512,23.4532112789606
"32",32,50,25,12.5,22.4628025015025,9,0,23.3423489873631,2,1,22.3736760849436,23.7346353933227
"33",33,50,25,12.5,22.0072768064911,4,0,22.8802082832953,1,1,22.4160645899689,23.7566274041967
"34",34,50,25,12.5,22.0895892675694,6,0,23.7742214777815,1,0,22.1847674707851,23.6332462905538
"35",35,50,25,12.5,22.6158528218348,7,0,23.2229971179571,2,1,22.0711734890586,23.4482653589451
"36",36,50,25,12.5,22.2795109138733,18,0,23.4952228268408,5,4,21.9842924443417,23.4138171910169
"37",37,50,25,12.5,22.8849548978837,12,0,23.9589083685041,4,2,22.2821435202223,23.6195880102784
"38",38,50,25,12.5,23.1548380293452,6,0,23.5566545871912,3,2,22.1168440996844,23.5764629624672
"39",39,50,25,12.5,22.3512851488339,23,2,23.2779351327819,8,6,22.0043310039225,23.4917717739187
"40",40,50,25,12.5,22.9919418112627,14,5,24.3829297938702,5,3,22.1974431089574,23.5026244367075
"41",41,50,25,12.5,23.6603651050064,9,0,24.2794139119003,3,2,22.2001277863825,23.4939936254214
"42",42,50,25,12.5,22.4952541659319,16,0,23.2990986198009,5,4,22.0871241280084,23.5477422213383
"43",43,50,25,12.5,23.0619803629736,13,0,23.8711995122405,3,3,22.1150544294564,23.4598878647439
"44",44,50,25,12.5,22.8823343370641,21,0,23.5728181238066,5,3,22.1466109215681,23.5146778486558
"45",45,50,25,12.5,22.4079388780283,7,0,0,0,0,22.1664532642546,23.553818771368
"46",46,50,25,12.5,23.008806564076,14,3,23.5061448181222,3,1,22.0500255382002,23.585798390215
"47",47,50,25,12.5,23.444521504086,5,0,24.0517658734712,2,1,22.365402607165,23.7902888417324
"48",48,50,25,12.5,23.1713345500278,7,0,24.0831990587601,2,2,22.3918970780927,23.7179071779505
"49",49,50,25,12.5,22.0798332039033,13,1,23.1427627313272,3,2,22.2954775779949,23.6062493043716
"50",50,50,25,12.5,22.7200058245166,5,0,24.177334352655,2,1,22.4168672769929,23.8598632847527
"51",51,50,25,12.5,22.291104614852,16,3,23.58157379562,5,4,22.1902874369073,23.4924835542611
"52",52,50,25,12.5,22.6198798745305,7,2,23.8156617163534,3,1,22.1353303991227,23.5317204478238
"53",53,50,25,12.5,22.3778485750152,16,0,23.1481691087289,5,2,22.3031804227436,23.784111734289
"54",54,50,25,12.5,23.2246574807578,19,3,24.2802452843225,5,4,22.0091145003656,23.37161410481
"55",55,50,25,12.5,23.3214545195217,16,0,24.0827821214347,3,2,22.4388862718374,23.7950735631985
"56",56,50,25,12.5,23.275270866524,23,0,23.8815708265208,6,5,22.3362111759841,23.7242048539245
"57",57,50,25,12.5,22.8308309426411,11,1,23.6727271648369,5,3,22.0865888710441,23.6202974509754
"58",58,50,25,12.5,22.4581877738303,11,0,23.6105891105596,3,1,22.368095313999,23.7658993745041
"59",59,50,25,12.5,22.3374208950293,3,0,23.7095685546718,1,1,22.1790673303059,23.6193554075867
"60",60,50,25,12.5,22.5038836682217,13,3,23.8296520908693,6,3,21.9704609225241,23.3587104645715
"61",61,50,25,12.5,22.4541970557105,4,0,23.7793181972183,1,1,22.3415279761325,23.7108230541564
"62",62,50,25,12.5,22.1371401074653,9,0,24.7554838852334,3,3,22.2768749349335,23.6879163074435
